id,predicted_churn_risk,risk_tier,behavioral_state,behavioral_evidence,recent_deterioration_count,persistent_deterioration_count,coordinated_deterioration_count,value_tier,arpu_8,retention_priority,candidate_action,decision_rationale,churn_probability
25294,0.03581503398181959,Very High,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,1,1,3,Lower,35.192,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
24327,0.5977272013816839,Very High,Persistent Deterioration,4/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,4,2,5,Lower,0.97,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,0
58676,0.009151440964575467,High,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,1,1,4,Moderate,109.958,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
32271,0.002134273682656204,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently,1,0,0,Highest,435.348,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
25682,0.14951324031747412,Very High,Persistent Deterioration,2/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,2,2,4,Highest,411.319,Priority 1,Persistent Deterioration Review,Very High churn risk with Higher/Highest relative customer value.,0
43551,0.005331295494159636,Moderate,Recent Deterioration,2/5 behavioural metrics declined recently,2,0,0,Moderate,97.05,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
24894,0.009031237470266549,High,Stable / Limited Deterioration,1/5 behavioural metrics declined across the observed period,0,0,1,Moderate,101.323,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
30098,0.01962853941579934,High,Severe Persistent Deterioration,5/5 behavioural metrics declined recently; 4/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,5,4,4,Moderate,86.426,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
30086,0.0011517591749103419,Low,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Moderate,153.054,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
38248,0.0044888640052660415,Moderate,Recent Broad Deterioration,4/5 behavioural metrics declined recently; 4/5 behavioural metrics declined across the observed period,4,0,4,Moderate,182.124,Priority 3,Broad Recent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
10502,0.003940031972868879,Moderate,Recent Deterioration,2/5 behavioural metrics declined recently,2,0,0,Lower,58.687,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
12904,0.002630221172458755,Low,Recent Deterioration,2/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 2/5 behavioural metrics declined across the observed period,2,1,2,Higher,202.567,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
43519,0.03306354323813116,High,Recent Deterioration,2/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,2,0,1,Moderate,130.732,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
22295,0.0039901357651846115,Moderate,Recent Deterioration,5/5 behavioural metrics declined recently,5,0,0,Lower,30.679,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
27586,0.04047200146978771,Very High,Recent Deterioration,5/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,5,1,3,Moderate,103.081,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
51222,0.020551488980398547,High,Recent Deterioration,2/5 behavioural metrics declined recently; 4/5 behavioural metrics declined across the observed period,2,0,4,Lower,83.24,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
1832,0.002740004244527323,Low,Recent Deterioration,4/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,4,1,3,Lower,51.574,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
57479,0.015254696587123013,High,Stable / Limited Deterioration,1/5 behavioural metrics declined recently,1,0,0,Moderate,140.689,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
43323,0.009946167219433814,High,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Highest,461.173,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
6768,0.004439427570716009,Moderate,Persistent Deterioration,4/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,4,2,4,Lower,60.51,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
33994,0.04346063112445216,Very High,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Highest,723.826,Priority 1,General Retention Review,Very High churn risk with Higher/Highest relative customer value.,0
6147,0.015539357958091086,High,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Moderate,195.729,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
13687,0.11469413221586786,Very High,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Lower,70.394,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,1
28924,0.024346062128043165,High,Persistent Deterioration,4/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,4,2,4,Lower,84.48,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
42272,0.007142037116633151,Moderate,Persistent Deterioration,4/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,4,3,5,Lower,21.347,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
45094,0.055954592673857176,Very High,Severe Persistent Deterioration,5/5 behavioural metrics declined recently; 5/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,5,5,Lower,24.322,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,0
38607,0.7515338685805685,Very High,Severe Persistent Deterioration,5/5 behavioural metrics declined recently; 5/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,5,5,Lower,0.0,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,1
33916,0.0032289536944105995,Low,Recent Deterioration,4/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,4,0,1,Lower,54.016,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
25084,0.003855833282124714,Moderate,Stable / Limited Deterioration,2/5 behavioural metrics declined across the observed period,0,0,2,Higher,222.73,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
69380,0.004604528907629906,Moderate,Persistent Deterioration,4/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,4,3,5,Higher,215.866,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
66289,0.0005048588922146818,Low,Persistent Deterioration,3/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,3,2,3,Higher,272.558,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
